site,sage_id,node_id,location,campus_site,hf,timestamp_corr,time_elapsed_days,gw_cond,gw_depth,gw_temp,temp_15,temp_30,temp_45,temp_60,vwc_15,vwc_30,vwc_45,vwc_60,air_temp,bp,rel_humid,vp_deficit_kpa,in_long,in_short,out_long,out_short,solar_voltage,timestamp,sunlight,sunlight_hours
"CSU, campus_site",W08E,MNLA4O102,Turf,CSU,-4.469,2025-05-01 00:00:00,0,4665,1565,9.3,14.03,13.97,12.94,11.63,29.244,35.607,71.745,76.155,12.04,993.31,85.26,0.207,373.2,-0.2,377.7,0.1,0,2025-05-01 00:00:00,FALSE,0
"CSU, campus_site",W08E,MNLA4O102,Turf,CSU,-4.144,2025-05-01 00:30:00,0.020833333,4664,1565,9.3,13.97,13.97,12.94,11.63,29.26,35.584,71.647,75.999,12.31,993.09,82.54,0.249,374.5,-0.6,378.1,0.1,0,2025-05-01 00:30:00,FALSE,0
"CSU, campus_site",W08E,MNLA4O102,Turf,CSU,-3.819,2025-05-01 01:00:00,0.041666667,4666,1565,9.3,13.94,13.94,12.94,11.63,29.26,35.652,71.696,76.051,12.47,992.75,83.81,0.234,376.4,-0.5,378.4,0,0,2025-05-01 01:00:00,FALSE,0
"CSU, campus_site",W08E,MNLA4O102,Turf,CSU,-3.536,2025-05-01 01:30:00,0.0625,4665,1565,9.3,13.91,13.91,12.94,11.63,29.327,35.675,71.745,76.155,11.93,992.03,86.44,0.189,372.6,-0.4,375.9,0.1,0,2025-05-01 01:30:00,FALSE,0
"CSU, campus_site",W08E,MNLA4O102,Turf,CSU,-3.452,2025-05-01 02:00:00,0.083333333,4662,1565,9.3,13.88,13.91,12.94,11.63,29.344,35.584,71.795,76.155,11.43,991.91,88.01,0.162,370.1,0,373.7,0.2,0,2025-05-01 02:00:00,FALSE,0
"CSU, campus_site",W08E,MNLA4O102,Turf,CSU,-6.195,2025-05-01 02:30:00,0.104166667,4657,1567,9.3,13.84,13.88,12.94,11.66,36.041,36.11,71.696,76.312,10.8,990.94,93.61,0.083,369.5,0,371.8,0.1,0,2025-05-01 02:30:00,FALSE,0
"CSU, campus_site",W08E,MNLA4O102,Turf,CSU,-7.87,2025-05-01 03:00:00,0.125,4660,1567,9.3,13.78,13.88,12.94,11.66,34.198,37.169,71.893,76.468,11,990.38,94.68,0.07,371.1,-0.1,373.9,0.1,0,2025-05-01 03:00:00,FALSE,0
"CSU, campus_site",W08E,MNLA4O102,Turf,CSU,-7.424,2025-05-01 03:30:00,0.145833333,4663,1572,9.3,13.72,13.84,12.94,11.66,33.296,37.266,72.042,76.468,11.39,989.78,94.7,0.071,372.9,-0.1,375.6,0.2,0,2025-05-01 03:30:00,FALSE,0
"CSU, campus_site",W08E,MNLA4O102,Turf,CSU,-6.691,2025-05-01 04:00:00,0.166666667,4662,1579,9.3,13.69,13.84,12.94,11.66,32.849,37.193,72.042,76.416,11.28,988.94,94.77,0.07,371.7,-0.1,374.3,0.1,0,2025-05-01 04:00:00,FALSE,0
"CSU, campus_site",W08E,MNLA4O102,Turf,CSU,-6.097,2025-05-01 04:30:00,0.1875,4672,1584,9.3,13.62,13.81,12.94,11.69,32.449,37.121,72.19,76.468,10.79,988.47,93.63,0.082,368.6,-0.1,372.3,0.2,0,2025-05-01 04:30:00,FALSE,0
