USDA Soil Profile:,,,,,Param,Value,Source
Core Depth (cm),Sand %,Silt %,Clay %,,Lat,41.71990,
0-20,44,48,8,,Alt,180.76,google earth
20-100,48,41,11,,TVBC,1137,
,,,,,METEO,1483,
Core Soil Profile:,,,,,LAI,3.59,"https://pmc.ncbi.nlm.nih.gov/articles/PMC11932473/#:~:text=The%20average%20LAI%20of%20Xinxiang%20People's%20Park%20is%202.30%20(the,high%20ecological%20functions%20over%20time."
0-10,86,12,2,,Veg Type,loose trees/prairie,(pasture chosen)
10-20,68,27,5,,Air Penetration,small,
20-30,77,18,5,,Wind Height,1524,
30-40,61,31,8,,Temp Height,150,
40-50,73,21,6,,Crop Height,100,
50-60,68,25,7,,Root Depth,20,
60-70,60,32,8,,Max h at Soil Surface,3,
70-80,67,26,7,,hCritA,1000,
80-90,76,19,5,,,,
90-100,68,25,7,,,,
,,,,,,,
,,,,,,,
Notes:,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
