timestamp,time_elapsed_days,Humidity (%),Wind Speed (m/s),Wind Direction (Degrees from True North),Rain Accumulation (cm),Wind Speed (km/day)
2025-05-01 00:00:00,0,73.8,0.6,49,0.117,51.84
2025-05-01 00:00:01,1.0398E-05,73.8,0.6,49,0.117,51.84
2025-05-01 00:30:01,0.02084234,72.7,0.8,41,0.117,69.12
2025-05-01 01:00:01,0.041674642,70.8,0.8,71,0.117,69.12
2025-05-01 01:30:01,0.062505793,67.6,0.6,49,0.117,51.84
2025-05-01 02:00:00,0.083336935,63.7,1.2,66,0.117,103.68
2025-05-01 02:30:00,0.104168256,63.4,0.8,89,0.117,69.12
2025-05-01 02:30:01,0.104177794,63.4,0.8,89,0.117,69.12
2025-05-01 03:00:01,0.125008578,64.6,0.8,76,0.117,69.12
2025-05-01 03:30:01,0.145840006,64.4,0.7,55,0.117,60.48
2025-05-01 04:00:00,0.166671525,64.2,0.8,57,0.117,69.12
2025-05-01 04:30:00,0.187503784,70.1,1.2,67,0.117,103.68
2025-05-01 05:00:00,0.208334773,80.4,0.2,270,0.127,17.28
2025-05-01 05:00:01,0.208344522,80.4,0.2,270,0.127,17.28
2025-05-01 05:30:01,0.229175063,82.1,0.6,74,0.127,51.84
2025-05-01 06:00:00,0.25000546,83.6,0.8,57,0.127,69.12
2025-05-01 06:30:00,0.270836552,86.1,0.1,233,0.15,8.64
2025-05-01 07:00:00,0.291667649,85.9,0.7,54,0.161,60.48
2025-05-01 07:00:01,0.291677085,85.9,0.7,54,0.161,60.48
2025-05-01 07:30:01,0.312509332,95.4,0.3,296,1.452,25.92
2025-05-01 08:00:01,0.333339875,97,0.8,292,1.566,69.12
2025-05-01 08:30:00,0.354170739,97,1,80,1.568,86.4
2025-05-01 09:00:00,0.37500295,96.9,1.8,59,1.626,155.52
2025-05-01 09:30:00,0.395834328,94.7,0.9,95,1.626,77.76
2025-05-01 09:30:01,0.39584451,94.7,0.9,95,1.626,77.76
2025-05-01 10:00:01,0.416674782,95,1,82,1.626,86.4
2025-05-01 10:30:01,0.437505774,96.1,0.5,76,1.645,43.2
2025-05-01 11:00:00,0.458337089,97.2,0.7,332,1.717,60.48
2025-05-01 11:30:00,0.479168414,98.3,0.8,34,1.77,69.12
2025-05-01 11:30:01,0.479177905,98.3,0.8,34,1.77,69.12
2025-05-01 12:00:01,0.500008235,99.6,1.3,111,1.828,112.32
2025-05-01 12:30:00,0.520838829,97.4,0.5,185,1.828,43.2
2025-05-01 13:00:00,0.541669701,97.6,0.8,176,1.828,69.12
2025-05-01 13:30:00,0.562501446,95.1,1.7,181,1.828,146.88
2025-05-01 14:00:00,0.583333772,94,1.7,197,1.828,146.88
2025-05-01 14:00:01,0.583343039,94,1.7,197,1.828,146.88
2025-05-01 14:30:01,0.604174236,90.7,0.3,72,1.828,25.92
2025-05-01 15:00:00,0.625005237,89,2.1,199,1.828,181.44
2025-05-01 15:30:00,0.645836577,88.1,1.3,187,1.831,112.32
2025-05-01 16:00:00,0.666667519,94,1.6,231,1.834,138.24
2025-05-01 16:30:00,0.687502958,85.5,2.6,194,1.834,224.64
2025-05-01 17:00:00,0.708334071,74.3,0.9,209,1.834,77.76
2025-05-01 17:00:01,0.708343718,74.3,0.9,209,1.834,77.76
2025-05-01 17:30:01,0.72917632,68,1.4,221,1.834,120.96
2025-05-01 18:00:01,0.750007938,76.5,3.5,269,1.861,302.4
2025-05-01 18:30:01,0.770839089,74.5,4.3,279,1.861,371.52
2025-05-01 19:00:00,0.791670091,73,1.6,214,1.861,138.24
2025-05-01 19:30:00,0.812501471,75.4,4.2,230,1.861,362.88
2025-05-01 19:30:01,0.812511069,75.4,4.2,230,1.861,362.88
2025-05-01 20:00:01,0.83334252,68.4,2.9,210,1.861,250.56
