Day of Year,Timestamp,NU ET (mm),NU ET fl. (mm/d),NEIU ET (mm),NEIU ET fl. (mm/d),CSU ET (mm),CSU ET fl. (mm/d)
120.0000033,0,0.040171338,NaN,NaN,NaN,NaN,NaN
120.0208333,0.02083,0.038706328,1.858201056,NaN,#VALUE!,NaN,#VALUE!
120.0416633,0.04166,0.034924342,1.676636678,NaN,#VALUE!,NaN,#VALUE!
120.0625033,0.0625,0.032392567,1.554345825,NaN,#VALUE!,NaN,#VALUE!
120.0833333,0.08333,0.029126211,1.398281853,NaN,#VALUE!,NaN,#VALUE!
120.1041633,0.10416,0.024962044,1.198369851,NaN,#VALUE!,NaN,#VALUE!
120.1250033,0.125,0.020889688,1.002384261,NaN,#VALUE!,NaN,#VALUE!
120.1458333,0.14583,0.017200052,0.825734614,NaN,#VALUE!,NaN,#VALUE!
120.1666633,0.16666,0.016481726,0.791249448,NaN,#VALUE!,NaN,#VALUE!
120.1875033,0.1875,0.013833201,0.663781238,NaN,#VALUE!,NaN,#VALUE!
120.2083333,0.20833,0.012706841,0.610025972,NaN,#VALUE!,NaN,#VALUE!
120.2291633,0.22916,0.01256948,0.603431589,NaN,#VALUE!,NaN,#VALUE!
120.2500033,0.25,0.011653526,0.559190307,NaN,#VALUE!,NaN,#VALUE!
120.2708333,0.27083,0.010975829,0.5269241,NaN,#VALUE!,NaN,#VALUE!
120.2916633,0.29166,0.010377939,0.498220787,NaN,#VALUE!,0.019448112,0.933658761
120.3125033,0.3125,0.011057221,0.530576823,NaN,#VALUE!,0.041477968,1.990305566
120.3333333,0.33333,0.011947771,0.573584782,NaN,#VALUE!,0.030655505,1.471699712
120.3541633,0.35416,0.012835645,0.616209554,NaN,#VALUE!,0.009341934,0.44848459
120.3750033,0.375,0.014582397,0.699731142,NaN,#VALUE!,0.022577836,1.083389443
120.3958333,0.39583,0.016643131,0.798998128,NaN,#VALUE!,0.025978161,1.247151272
120.4166633,0.41666,0.01918871,0.921205473,NaN,#VALUE!,0.033429926,1.604893231
120.4375033,0.4375,0.021390436,1.026412476,NaN,#VALUE!,0.017683686,0.848545393
120.4583333,0.45833,0.023652259,1.13549011,NaN,#VALUE!,0.012633707,0.606514978
120.4791633,0.47916,0.026365663,1.265754345,NaN,#VALUE!,0.0128156,0.61524724
120.5000033,0.5,0.029034268,1.39319904,NaN,#VALUE!,0.021928368,1.052224952
120.5208333,0.52083,0.031326591,1.503916995,NaN,#VALUE!,0.030421472,1.46046433
120.5416633,0.54166,0.033443686,1.605553817,NaN,#VALUE!,0.018564424,0.89123495
120.5625033,0.5625,0.035794664,1.717594242,NaN,#VALUE!,0.014457624,0.693743954
120.5833333,0.58333,0.037111435,1.781633941,NaN,#VALUE!,NaN,#VALUE!
120.6041633,0.60416,0.037499593,1.800268507,NaN,#VALUE!,NaN,#VALUE!
120.6250033,0.625,0.037315978,1.790593954,0.018242939,0.87538095,NaN,#VALUE!
120.6458333,0.64583,0.037604236,1.805292175,0.012838897,0.616365675,NaN,#VALUE!
120.6666633,0.66666,0.036817665,1.767530725,0.016585866,0.796248968,NaN,#VALUE!
120.6875033,0.6875,0.03487059,1.673252879,0.018530733,0.889190643,NaN,#VALUE!
120.7083333,0.70833,0.032923717,1.580591311,0.010232771,0.491251608,NaN,#VALUE!
120.7291633,0.72916,0.030858799,1.481459386,0.010316946,0.495292655,NaN,#VALUE!
120.7500033,0.75,0.029127676,1.39768119,0.005690389,0.273051296,NaN,#VALUE!
120.7708333,0.77083,0.026759804,1.28467614,0.006434133,0.308887806,NaN,#VALUE!
120.7916633,0.79166,0.024907282,1.195740855,0.006630675,0.318323332,0.019658524,0.943760154
120.8125033,0.8125,0.023670417,1.135816555,0.009877056,0.473947025,NaN,#VALUE!
120.8333333,0.83333,0.023496747,1.12802434,0.012876385,0.618165386,NaN,#VALUE!
120.8541633,0.85416,0.023171409,1.112405617,0.008541239,0.410045079,0.061761115,2.965007921
120.8750033,0.875,0.022241617,1.067256094,0.012574669,0.603391027,NaN,#VALUE!
120.8958333,0.89583,0.021729792,1.043196928,0.014335025,0.688191311,NaN,#VALUE!
120.9166633,0.91666,0.020887659,1.002768075,0.013445257,0.645475612,NaN,#VALUE!
120.9375033,0.9375,0.019190243,0.920836996,0.008574546,0.411446545,NaN,#VALUE!
120.9583333,0.95833,0.016282727,0.781695967,0.00340865,0.163641383,NaN,#VALUE!
120.9791633,0.97916,0.013585551,0.652210802,NaN,#VALUE!,NaN,#VALUE!
