NU USDA Model Results,,,,NU Core Model Results,,,,NEIU USDA Model Results,,,,NEIU Core Model Results,,,,CSU USDA Model Results,,,,CSU Core model Results,
t,ET (mm/d),,,t,ET (mm/d),,,t,ET (mm/d),,,t,ET (mm/d),,,t,ET (mm/d),,,t,ET (mm/d)
0.02,4.337,,,0.02,4.288,,,0.02,4.556,,,0.02,4.556,,,0.02,4.669,,,0.02,4.669
0.04,4.292,,,0.04,4.286,,,0.04,4.584,,,0.04,4.584,,,0.04,4.678,,,0.04,4.678
0.06,4.3,,,0.06,4.192,,,0.06,4.479,,,0.06,4.479,,,0.06,4.614,,,0.06,4.614
0.08,4.142,,,0.08,4.037,,,0.08,4.138,,,0.08,4.138,,,0.08,4.446,,,0.08,4.446
0.1,4.042,,,0.1,4.038,,,0.1,4.267,,,0.1,4.267,,,0.1,4.423,,,0.1,4.423
0.12,4.051,,,0.12,3.98,,,0.12,3.918,,,0.12,3.918,,,0.12,4.429,,,0.12,4.429
0.15,3.971,,,0.15,3.881,,,0.15,3.993,,,0.15,3.993,,,0.15,4.493,,,0.15,4.493
0.17,4.279,,,0.17,3.802,,,0.17,4.088,,,0.17,4.088,,,0.17,4.436,,,0.17,4.436
0.19,4.083,,,0.19,3.761,,,0.19,3.982,,,0.19,3.982,,,0.19,4.282,,,0.19,4.282
0.21,3.802,,,0.21,3.742,,,0.21,3.885,,,0.21,3.885,,,0.21,4.616,,,0.21,4.616
0.23,3.821,,,0.23,3.733,,,0.23,3.95,,,0.23,3.95,,,0.23,4.464,,,0.23,4.464
0.25,3.57,,,0.25,3.737,,,0.25,4.065,,,0.25,4.065,,,0.25,4.395,,,0.25,4.395
0.27,3.654,,,0.27,3.716,,,0.27,3.962,,,0.27,3.962,,,0.27,4.753,,,0.27,4.753
0.29,3.873,,,0.29,3.701,,,0.29,3.664,,,0.29,3.664,,,0.29,4.619,,,0.29,4.619
0.31,4.318,,,0.31,3.685,,,0.31,3.999,,,0.31,3.999,,,0.31,5.493,,,0.31,5.493
0.33,3.54,,,0.33,3.708,,,0.35,4.36,,,0.35,4.36,,,0.33,5.395,,,0.33,5.395
0.35,4.092,,,0.35,4.35,,,0.38,4.625,,,0.38,4.625,,,0.35,5.463,,,0.35,5.463
0.38,4.464,,,0.38,4.431,,,0.4,4.421,,,0.4,4.421,,,0.38,5.406,,,0.38,5.406
0.4,4.54,,,0.4,4.506,,,0.42,4.276,,,0.42,4.276,,,0.4,5.7,,,0.4,5.7
0.42,4.423,,,0.42,4.671,,,0.44,4.327,,,0.44,4.327,,,0.42,5.628,,,0.42,5.628
0.44,4.404,,,0.44,4.905,,,0.46,5.446,,,0.46,5.446,,,0.44,5.718,,,0.44,5.718
0.46,4.719,,,0.46,4.751,,,0.48,5.239,,,0.48,5.239,,,0.46,5.845,,,0.46,5.845
0.48,4.816,,,0.48,4.978,,,0.5,5.475,,,0.5,5.475,,,0.48,5.919,,,0.48,5.919
0.52,5.35,,,0.52,5.208,,,0.54,5.555,,,0.54,5.555,,,0.5,6.16,,,0.5,6.16
0.54,5.295,,,0.54,5.308,,,0.56,5.696,,,0.56,5.696,,,0.52,5.895,,,0.52,5.895
0.56,5.361,,,0.56,5.443,,,0.6,5.723,,,0.6,5.723,,,0.54,5.762,,,0.54,5.762
0.58,5.719,,,0.58,5.738,,,0.62,5.767,,,0.62,5.767,,,0.56,6.079,,,0.56,6.079
0.6,5.594,,,0.6,5.702,,,0.65,5.804,,,0.65,5.804,,,0.58,6.033,,,0.58,6.033
0.62,5.366,,,0.62,5.636,,,0.67,5.79,,,0.67,5.79,,,0.6,5.79,,,0.6,5.79
0.65,5.379,,,0.65,5.583,,,0.69,5.778,,,0.69,5.778,,,0.62,6.561,,,0.62,6.561
0.67,5.463,,,0.67,5.53,,,0.71,5.822,,,0.71,5.822,,,0.65,6.171,,,0.65,6.171
0.69,5.42,,,0.69,5.597,,,0.73,5.705,,,0.73,5.705,,,0.67,6.084,,,0.67,6.084
0.71,5.567,,,0.71,5.473,,,0.75,5.539,,,0.75,5.539,,,0.69,6.157,,,0.69,6.157
0.73,5.354,,,0.73,5.279,,,0.77,4.528,,,0.77,4.528,,,0.71,5.782,,,0.71,5.782
0.75,4.76,,,0.75,4.767,,,0.79,4.452,,,0.79,4.452,,,0.73,5.936,,,0.73,5.936
0.77,4.652,,,0.77,4.596,,,0.83,4.399,,,0.83,4.399,,,0.75,6.118,,,0.75,6.118
0.79,4.344,,,0.79,4.452,,,0.85,4.775,,,0.85,4.775,,,0.77,6.062,,,0.77,6.062
0.81,4.052,,,0.81,4.197,,,0.88,4.536,,,0.88,4.536,,,0.79,5.092,,,0.79,5.092
0.83,4.073,,,0.83,4.433,,,0.9,4.431,,,0.9,4.431,,,0.81,4.96,,,0.81,4.96
0.85,4.315,,,0.85,4.438,,,0.92,4.356,,,0.92,4.356,,,0.83,5.096,,,0.83,5.096
0.88,4.289,,,0.88,4.462,,,0.94,4.327,,,0.94,4.327,,,0.85,5.019,,,0.85,5.019
0.9,4.459,,,0.9,4.473,,,0.96,4.257,,,0.96,4.257,,,0.88,5.087,,,0.88,5.087
0.92,4.527,,,0.92,4.42,,,0.98,3.944,,,0.98,3.944,,,0.9,5.155,,,0.9,5.155
0.94,4.399,,,0.94,4.471,,,1,3.981,,,1,3.981,,,0.92,5.009,,,0.92,5.009
0.96,4.538,,,0.96,4.423,,,1.02,3.592,,,1.02,3.592,,,0.94,4.93,,,0.94,4.93
0.98,3.885,,,0.98,3.884,,,1.04,3.808,,,1.04,3.808,,,0.96,4.614,,,0.96,4.614
1,3.787,,,1,3.81,,,1.06,3.711,,,1.06,3.711,,,0.98,4.383,,,0.98,4.383
1.02,3.612,,,1.02,3.622,,,1.08,3.64,,,1.08,3.64,,,1,4.557,,,1,4.557
1.04,3.582,,,1.04,3.769,,,1.1,3.404,,,1.1,3.404,,,1.02,3.928,,,1.02,3.928
1.06,3.408,,,1.06,3.383,,,1.12,3.558,,,1.12,3.558,,,1.04,4.01,,,1.04,4.01
1.08,3.566,,,1.08,3.644,,,1.15,3.309,,,1.15,3.309,,,1.06,3.87,,,1.06,3.87
