site,sage_id,node_id,location,campus_site,hf,timestamp_corr,time_elapsed_days,temp_15,temp_30,temp_45,temp_60,vwc_15,vwc_30,vwc_45,vwc_60,air_temp,bp,rel_humid,vp_deficit_kpa,in_long,in_short,out_long,out_short,solar_voltage,timestamp,sunlight,sunlight_hours
"NEIU, campus_site",W08D,MNLA4O107,Turf,NEIU,-0.26,2025-05-01 00:00:00,0,14.62,14.13,13.28,12.47,34.007,34.761,39.209,38.072,12.34,992.8,67.8,0.461,363.7,-0.1,379.2,-0.1,0,2025-05-01 00:00:00,FALSE,0
"NEIU, campus_site",W08D,MNLA4O107,Turf,NEIU,-0.59,2025-05-01 00:30:00,0.020833333,14.56,14.09,13.28,12.47,34.007,34.739,39.235,38.122,12.03,992.24,71.71,0.397,372.3,-0.5,379.4,0,0,2025-05-01 00:30:00,FALSE,0
"NEIU, campus_site",W08D,MNLA4O107,Turf,NEIU,-0.5,2025-05-01 01:00:00,0.041666667,14.5,14.09,13.25,12.5,34.049,34.739,39.209,38.047,11.73,992.26,74.74,0.348,369.9,-0.4,377.2,0.1,0,2025-05-01 01:00:00,FALSE,0
"NEIU, campus_site",W08D,MNLA4O107,Turf,NEIU,-0.13,2025-05-01 01:30:00,0.0625,14.47,14.06,13.25,12.47,34.007,34.739,39.235,38.072,11.18,991.85,78.82,0.281,368.8,-0.2,375.8,0.1,0,2025-05-01 01:30:00,FALSE,0
"NEIU, campus_site",W08D,MNLA4O107,Turf,NEIU,-0.18,2025-05-01 02:00:00,0.083333333,14.41,14.06,13.25,12.5,33.985,34.761,39.209,38.072,10.63,991.32,86.13,0.177,364.3,-0.1,373.1,0.2,0,2025-05-01 02:00:00,FALSE,0
"NEIU, campus_site",W08D,MNLA4O107,Turf,NEIU,-0.2,2025-05-01 02:30:00,0.104166667,14.38,14.03,13.25,12.5,33.985,34.695,39.261,38.097,10.66,990.98,85.41,0.187,365,-0.1,373.5,0.1,0,2025-05-01 02:30:00,FALSE,0
"NEIU, campus_site",W08D,MNLA4O107,Turf,NEIU,-0.03,2025-05-01 03:00:00,0.125,14.31,14,13.25,12.5,34.028,34.739,39.261,38.097,10.52,990.07,89.05,0.139,364.6,0,373.1,0.2,0.008,2025-05-01 03:00:00,FALSE,0
"NEIU, campus_site",W08D,MNLA4O107,Turf,NEIU,0.03,2025-05-01 03:30:00,0.145833333,14.28,14,13.25,12.5,34.007,34.761,39.184,38.097,10.31,989.32,91.04,0.112,365.3,0,373.1,0.1,0,2025-05-01 03:30:00,FALSE,0
"NEIU, campus_site",W08D,MNLA4O107,Turf,NEIU,0.1,2025-05-01 04:00:00,0.166666667,14.22,13.97,13.25,12.5,33.964,34.804,39.235,38.122,10.28,988,94.49,0.069,366,0,373.4,0.1,0,2025-05-01 04:00:00,FALSE,0
"NEIU, campus_site",W08D,MNLA4O107,Turf,NEIU,0.09,2025-05-01 04:30:00,0.1875,14.16,13.97,13.25,12.5,34.049,34.761,39.235,38.147,10.46,988.18,95.42,0.058,367.4,0.1,374.3,0.1,0,2025-05-01 04:30:00,TRUE,0.5
