timestamp,time_elapsed_days,Humidity (%),Wind Speed (m/s),Wind Direction (Degrees from True North),Rain Accumulation (cm),Unnamed: 6,time difference between steps,Unnamed: 8,Wind Speed (km/day)
2025-05-01 00:00:00,0,63.8,1.8,54,43.372,,5.04031E-06,,155.52
2025-05-01 00:30:01,0.020839238,65,0.4,100,43.372,,9.23055E-07,,34.56
2025-05-01 01:00:00,0.04167105,62.3,1.1,58,43.372,,9.63965E-07,,95.04
2025-05-01 01:30:01,0.062504614,62.1,1.2,92,43.372,,1.04063E-06,,103.68
2025-05-01 02:00:00,0.083336828,62.5,2,49,43.372,,9.71383E-07,,172.8
2025-05-01 02:30:00,0.104169237,63.1,1.2,57,43.372,,9.31684E-07,,103.68
2025-05-01 03:00:00,0.125001617,60.9,2.7,42,43.372,,9.2092E-07,,233.28
2025-05-01 03:30:00,0.145834665,62.1,1.8,76,43.372,,1.09428E-06,,155.52
2025-05-01 04:00:00,0.166667018,64.4,1.1,56,43.372,,1.22122E-06,,95.04
2025-05-01 04:30:00,0.187498942,65.2,1.4,28,43.372,,9.16748E-07,,120.96
2025-05-01 05:00:00,0.208335247,63.4,1.6,85,43.372,,1.02213E-06,,138.24
2025-05-01 05:30:00,0.229166668,68.9,1.3,51,43.382,,9.11449E-07,,112.32
2025-05-01 05:30:01,0.22917646,68.9,1.3,51,43.382,,0.0208233,,112.32
2025-05-01 06:00:01,0.250008838,73,1.1,62,43.414,,1.0317E-06,,95.04
2025-05-01 06:30:01,0.270839729,77.9,1.4,42,43.451,,8.96574E-07,,120.96
2025-05-01 07:00:00,0.2916706,82.8,2.3,46,43.474,,9.52761E-07,,198.72
2025-05-01 07:30:00,0.312503001,83.7,1.1,35,43.532,,9.27941E-07,,95.04
2025-05-01 08:00:00,0.333337094,86.9,1.9,33,43.592,,1.00971E-06,,164.16
2025-05-01 08:30:00,0.354169883,91.2,2.2,48,43.84,,9.02723E-07,,190.08
2025-05-01 09:00:00,0.375001656,96.7,1.3,70,44.188,,9.23401E-07,,112.32
2025-05-01 09:30:00,0.395833322,95.8,2.4,54,44.19,,1.00542E-06,,207.36
2025-05-01 09:30:01,0.395843508,95.8,2.4,54,44.19,,0.020821966,,207.36
2025-05-01 10:00:01,0.416676219,95.8,3.3,44,44.205,,0.020823142,,285.12
2025-05-01 10:30:01,0.437508627,95.5,3.6,53,44.205,,1.23303E-06,,311.04
2025-05-01 11:00:01,0.458340518,94.7,0.4,26,44.205,,2.33106E-06,,34.56
2025-05-01 11:30:01,0.479173324,95.4,1.9,78,44.222,,9.36179E-07,,164.16
2025-05-01 12:00:01,0.500008461,96.4,1.1,59,44.227,,9.5798E-07,,95.04
2025-05-01 12:30:01,0.520839659,98.7,1.2,72,44.475,,1.85343E-06,,103.68
2025-05-01 14:30:00,0.604165753,97,0.9,184,44.542,,1.22005E-06,,77.76
2025-05-01 14:30:01,0.604176158,97,0.9,184,44.542,,0.020822707,,77.76
2025-05-01 15:00:01,0.625008138,96.8,1.2,166,44.542,,8.91646E-07,,103.68
2025-05-01 15:30:01,0.64584094,94.4,2.4,161,44.542,,9.60961E-07,,207.36
2025-05-01 16:00:01,0.666672565,92,2.4,202,44.542,,9.98426E-07,,207.36
2025-05-01 16:30:00,0.687504423,86,5,156,44.553,,1.44082E-06,0.104157899,432
2025-05-01 17:30:00,0.729168239,90.1,3.9,209,44.63,,9.49549E-07,,336.96
2025-05-01 18:00:00,0.750002037,75.8,2.4,264,44.631,,4.65975E-06,,207.36
2025-05-01 19:00:01,0.791676636,70.6,4.4,220,44.631,,0.062496678,,380.16
2025-05-01 21:00:01,0.875005857,74.6,6.9,248,44.631,,1.48998E-06,,596.16
2025-05-02 01:30:00,1.062499617,75,5.8,235,44.631,,9.36662E-07,,501.12
2025-05-02 01:30:01,1.062509427,75,5.5,237,44.631,,0.020822973,,475.2
