site,sage_id,node_id,location,campus_site,hf,timestamp_corr,time_elapsed_days,gw_cond,gw_depth,gw_temp,temp_15,temp_30,temp_45,temp_60,vwc_15,vwc_30,vwc_45,vwc_60,air_temp,bp,rel_humid,vp_deficit_kpa,in_long,in_short,out_long,out_short,solar_voltage,timestamp,sunlight,sunlight_hours
"NU, Grove",W099,MNLA4O104,Grove,NU,-7.906,2025-05-01 00:00:00,0,1166,1116,9.5,13.97,13.59,13,12.41,29.044,25.668,24.242,22.001,10.36,994.78,82.31,0.222,359,-0.2,372.8,0.2,0,2025-05-01 00:00:00,FALSE,0
"NU, Grove",W099,MNLA4O104,Grove,NU,-8.487,2025-05-01 00:30:00,0.020833333,1166,1117,9.5,13.94,13.59,13,12.41,29.028,25.655,24.242,22.02,10.33,994.22,83.03,0.213,364.2,-0.5,372.1,0.1,0,2025-05-01 00:30:00,FALSE,0
"NU, Grove",W099,MNLA4O104,Grove,NU,-8.747,2025-05-01 01:00:00,0.041666667,1166,1116,9.5,13.91,13.59,13,12.41,29.094,25.629,24.23,21.974,10.22,994.06,83.47,0.206,365.6,-0.6,371.6,0.3,0,2025-05-01 01:00:00,FALSE,0
"NU, Grove",W099,MNLA4O104,Grove,NU,-8.917,2025-05-01 01:30:00,0.0625,1166,1117,9.5,13.84,13.59,12.97,12.41,29.061,25.642,24.23,21.992,10.15,993.66,85.47,0.18,364.6,-0.4,371.4,0.3,0,2025-05-01 01:30:00,FALSE,0
"NU, Grove",W099,MNLA4O104,Grove,NU,-8.988,2025-05-01 02:00:00,0.083333333,1166,1118,9.5,13.78,13.56,13,12.41,29.077,25.629,24.23,21.992,9.81,992.97,88.94,0.134,363.7,-0.3,370.4,0.2,0,2025-05-01 02:00:00,FALSE,0
"NU, Grove",W099,MNLA4O104,Grove,NU,-9.12,2025-05-01 02:30:00,0.104166667,1167,1116,9.5,13.75,13.56,12.97,12.41,29.044,25.642,24.219,21.974,9.78,992.38,88.95,0.134,363.8,-0.4,370.2,0.3,0,2025-05-01 02:30:00,FALSE,0
"NU, Grove",W099,MNLA4O104,Grove,NU,-9.271,2025-05-01 03:00:00,0.125,1167,1118,9.5,13.69,13.53,12.97,12.41,29.094,25.629,24.207,21.983,9.72,991.5,90.48,0.115,364.3,-0.2,370.2,0.2,0,2025-05-01 03:00:00,FALSE,0
"NU, Grove",W099,MNLA4O104,Grove,NU,-9.489,2025-05-01 03:30:00,0.145833333,1168,1121,9.5,13.66,13.53,12.97,12.41,29.11,25.616,24.219,21.983,9.53,990.72,92.9,0.084,364.5,0,369.6,0.2,0,2025-05-01 03:30:00,FALSE,0
"NU, Grove",W099,MNLA4O104,Grove,NU,-9.895,2025-05-01 04:00:00,0.166666667,1167,1121,9.5,13.59,13.5,12.97,12.41,29.144,25.629,24.23,22.047,9.43,990.19,94.93,0.06,365,0,369.6,0.2,0,2025-05-01 04:00:00,FALSE,0
"NU, Grove",W099,MNLA4O104,Grove,NU,-10.566,2025-05-01 04:30:00,0.1875,1169,1121,9.5,13.53,13.47,12.97,12.41,29.16,25.603,24.23,22.02,9.22,989.66,95.75,0.049,364.4,0,369.6,0.2,0,2025-05-01 04:30:00,FALSE,0
"NU, Grove",W099,MNLA4O104,Grove,NU,-10.547,2025-05-01 05:00:00,0.208333333,1168,1123,9.5,13.5,13.47,12.97,12.41,29.21,25.603,24.23,22.01,9.26,988.66,96.13,0.045,364.1,-0.1,369.2,0.2,0,2025-05-01 05:00:00,FALSE,0
"NU, Grove",W099,MNLA4O104,Grove,NU,-10.311,2025-05-01 05:30:00,0.229166667,1167,1124,9.5,13.44,13.44,12.94,12.41,29.26,25.629,24.242,22.01,9.26,988.13,96.39,0.042,364.3,0.2,369.3,0.2,0,2025-05-01 05:30:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,-10.311,2025-05-01 06:00:00,0.25,1168,1120,9.5,13.37,13.41,12.94,12.41,29.344,25.642,24.219,22.01,8.95,988.59,95.93,0.047,363,3.3,368.8,0.6,0,2025-05-01 06:00:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,-10.169,2025-05-01 06:30:00,0.270833333,1169,1121,9.5,13.34,13.41,12.94,12.41,29.445,25.629,24.184,22.001,8.65,988.19,96.05,0.044,361.6,10.3,367.9,1.5,0,2025-05-01 06:30:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,-10.103,2025-05-01 07:00:00,0.291666667,1170,1123,9.5,13.28,13.37,12.94,12.41,29.462,25.668,24.207,22.02,8.54,987,96.4,0.04,361.6,6,367.6,0.8,0,2025-05-01 07:00:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,-10.325,2025-05-01 07:30:00,0.3125,1169,1123,9.5,13.25,13.34,12.94,12.41,29.581,25.655,24.219,22.029,8.8,986.72,97.11,0.033,362.8,5.6,368.1,0.7,0,2025-05-01 07:30:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,-10.746,2025-05-01 08:00:00,0.333333333,1169,1123,9.5,13.19,13.34,12.91,12.41,29.718,25.694,24.219,22.038,9.48,986.47,97.63,0.028,366.6,15.8,370.8,2.1,0,2025-05-01 08:00:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,-10.193,2025-05-01 08:30:00,0.354166667,1168,1122,9.5,13.16,13.31,12.91,12.41,29.908,25.734,24.184,22.02,10.44,985.94,98.09,0.024,374.3,51.4,378.5,7.3,0,2025-05-01 08:30:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,-8.435,2025-05-01 09:00:00,0.375,1168,1121,9.5,13.09,13.28,12.91,12.37,30.03,25.786,24.207,22.001,11.36,985.75,97.73,0.03,379.4,76.1,383.4,10.8,0,2025-05-01 09:00:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,-5.236,2025-05-01 09:30:00,0.395833333,1169,1122,9.5,13.03,13.25,12.91,12.37,30.188,25.852,24.196,22.01,12.02,985.25,97.67,0.033,385.1,138.6,391.1,20.8,0,2025-05-01 09:30:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,-1.441,2025-05-01 10:00:00,0.416666667,1170,1121,9.5,13,13.22,12.88,12.37,30.259,25.906,24.207,21.992,13.48,985.03,97.6,0.037,397.8,177.4,402.7,27.4,0.008,2025-05-01 10:00:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,3.818,2025-05-01 10:30:00,0.4375,1171,1122,9.5,13,13.19,12.88,12.37,30.329,25.986,24.184,21.983,15.27,984.66,95.22,0.083,407.8,203.7,412.3,30.7,5.399,2025-05-01 10:30:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,10.032,2025-05-01 11:00:00,0.458333333,1170,1121,9.5,13,13.19,12.84,12.37,30.365,26.039,24.15,22.001,13.59,984.84,94.43,0.087,393,42.9,396.6,5.6,0,2025-05-01 11:00:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,11.724,2025-05-01 11:30:00,0.479166667,1169,1121,9.5,13,13.16,12.84,12.37,30.401,26.107,24.207,21.974,16.45,984.28,97.86,0.04,422.8,400.2,432.4,57.9,14.432,2025-05-01 11:30:00,TRUE,0.5
"NU, Grove",W099,MNLA4O104,Grove,NU,21.477,2025-05-01 12:30:00,0.520833333,1172,1121,9.5,13.09,13.09,12.81,12.37,30.418,26.216,24.23,21.965,20.23,983.59,86.57,0.318,401.5,370.3,436.5,55,14.432,2025-05-01 12:30:00,TRUE,1
