timestamp,time_elapsed_days,Humidity (%),Wind Speed (m/s),Wind Direction (Degrees from True North),Rain Accumulation (cm),Wind Speed (km/day)
2025-05-01 00:00:00,0,72.3,1.2,88,10.055,103.68
2025-05-01 00:00:01,9.81863E-06,72.3,1.2,96,10.055,103.68
2025-05-01 00:30:01,0.020842183,73.2,0.9,163,10.055,77.76
2025-05-01 01:00:01,0.041673812,71.2,2,126,10.055,172.8
2025-05-01 01:30:01,0.062505976,68.9,0.9,108,10.055,77.76
2025-05-01 02:00:00,0.083337311,68.2,1.4,4,10.055,120.96
2025-05-01 02:30:00,0.104168991,67.1,2.1,80,10.055,181.44
2025-05-01 03:00:00,0.125000343,73,1.7,76,10.055,146.88
2025-05-01 03:00:01,0.125010162,73,1.4,78,10.055,120.96
2025-05-01 03:30:01,0.145841176,75,1.7,358,10.055,146.88
2025-05-01 04:00:01,0.166673153,77.9,0.5,54,10.055,43.2
2025-05-01 04:30:00,0.187504225,75.4,1,17,10.055,86.4
2025-05-01 05:00:00,0.208335276,77.4,1.9,15,10.055,164.16
2025-05-01 05:30:00,0.229167453,76.8,1.8,96,10.056,155.52
2025-05-01 06:00:00,0.250000539,76,2.9,85,10.087,250.56
2025-05-01 06:00:01,0.250011101,76,3,80,10.088,259.2
2025-05-01 06:30:01,0.270843108,78.9,2.4,79,10.104,207.36
2025-05-01 07:00:01,0.29167449,85.4,1.5,55,10.168,129.6
2025-05-01 07:30:01,0.312506526,84.7,0.3,333,10.2,25.92
2025-05-01 08:00:00,0.333338429,88.1,2.8,107,10.254,241.92
2025-05-01 08:30:00,0.35417038,91,3.4,86,10.493,293.76
2025-05-01 09:00:00,0.375002543,96.6,2,93,10.75,172.8
2025-05-01 09:30:00,0.395834756,97.6,2,66,10.889,172.8
2025-05-01 10:00:00,0.416666656,96.1,3.2,96,10.898,276.48
2025-05-01 10:00:01,0.416676469,96.1,3.5,97,10.898,302.4
2025-05-01 10:30:01,0.437507542,95.9,5,99,10.898,432
2025-05-01 11:00:01,0.458339751,95.8,2.3,92,10.898,198.72
2025-05-01 11:30:00,0.479170718,96.7,2.7,106,10.919,233.28
2025-05-01 12:00:00,0.500003686,97.9,0.6,276,10.966,51.84
2025-05-01 12:30:00,0.520835952,99.4,0.5,247,11.222,43.2
2025-05-01 13:00:00,0.541669034,99.8,2.2,83,11.279,190.08
2025-05-01 13:30:00,0.562501003,100,0.7,133,11.287,60.48
2025-05-01 13:30:01,0.562510803,100,0.6,107,11.287,51.84
2025-05-01 14:00:01,0.583342021,100,2,241,11.287,172.8
2025-05-01 14:30:01,0.604173866,99.8,1.2,232,11.287,103.68
2025-05-01 15:00:00,0.625004936,98.2,0.1,262,11.287,8.64
2025-05-01 15:30:00,0.645837112,93.5,0.3,228,11.287,25.92
2025-05-01 16:00:00,0.666669139,91.3,1.3,125,11.287,112.32
2025-05-01 16:30:00,0.687501147,98,0.8,118,11.312,69.12
2025-05-01 16:30:01,0.687510995,98,0.7,118,11.312,60.48
2025-05-01 17:00:01,0.70834208,81.6,3.6,192,11.312,311.04
2025-05-01 17:30:01,0.729173738,85.3,3.1,238,11.331,267.84
2025-05-01 18:00:00,0.750005002,88,2.3,262,11.49,198.72
2025-05-01 18:30:00,0.770836325,77.5,1.6,262,11.49,138.24
2025-05-01 19:00:00,0.791667687,73.5,3,311,11.491,259.2
2025-05-01 19:00:01,0.791677194,73.5,3,311,11.491,259.2
2025-05-01 19:30:01,0.812508508,70.6,3.1,279,11.491,267.84
2025-05-01 20:00:01,0.833339502,74,6.4,233,11.491,552.96
2025-05-01 20:30:00,0.854170946,73,3.4,247,11.491,293.76
2025-05-01 21:00:00,0.875001866,73.8,4.5,217,11.491,388.8
2025-05-01 21:00:01,0.87501129,73.8,4.5,217,11.491,388.8
2025-05-01 21:30:01,0.895841543,72.2,2.3,219,11.491,198.72
2025-05-01 22:00:01,0.91667279,73.5,0.9,283,11.491,77.76
2025-05-01 22:30:00,0.937503837,74.8,3.2,260,11.491,276.48
2025-05-01 23:00:00,0.958335118,76.4,0.9,255,11.491,77.76
2025-05-01 23:00:01,0.958344626,76.4,0.7,251,11.491,60.48
2025-05-01 23:30:01,0.979175836,80.7,3.5,320,11.491,302.4
2025-05-02 00:00:01,1.000006594,83.3,3.1,229,11.491,267.84
2025-05-02 00:30:00,1.020837992,89,1.5,260,11.491,129.6
2025-05-02 01:00:00,1.041670158,85.9,2.8,234,11.491,241.92
2025-05-02 01:30:00,1.06250148,82.4,1.2,237,11.491,103.68
2025-05-02 01:30:01,1.062510713,82.4,0.8,248,11.491,69.12
2025-05-02 02:00:01,1.083342516,82.3,1.9,313,11.491,164.16
2025-05-02 02:30:01,1.104174,81.2,3.2,303,11.491,276.48
2025-05-02 03:00:00,1.125005057,80.5,0.4,324,11.491,34.56
2025-05-02 03:30:00,1.14583613,80.1,2.4,293,11.491,207.36
2025-05-02 04:00:00,1.166667413,81.3,0.8,285,11.491,69.12
2025-05-02 04:00:01,1.16667693,81.3,1.1,287,11.491,95.04
2025-05-02 04:30:01,1.187508274,79.4,0.5,200,11.491,43.2
2025-05-02 05:00:01,1.208339227,81.2,1.6,292,11.491,138.24
2025-05-02 05:30:00,1.229170227,82.8,0.9,298,11.491,77.76
2025-05-02 06:00:00,1.25000223,82.7,1.5,230,11.491,129.6
2025-05-02 06:30:00,1.270834426,82.5,1.2,259,11.491,103.68
2025-05-02 06:30:01,1.270844235,82.5,1.3,256,11.491,112.32
2025-05-02 07:00:01,1.291675319,83.9,1,307,11.491,86.4
2025-05-02 07:30:01,1.312507488,92.1,2.2,3,11.491,190.08
2025-05-02 08:00:00,1.333338401,98.2,1,43,11.491,86.4
2025-05-02 08:30:00,1.354169458,99,2.3,44,11.491,198.72
2025-05-02 09:00:00,1.375000886,100,1.3,71,11.491,112.32
2025-05-02 09:00:01,1.375010681,100,1.5,70,11.491,129.6
2025-05-02 09:30:01,1.395843229,100,2.1,83,11.491,181.44
2025-05-02 10:00:01,1.416674444,100,2.5,54,11.491,216
2025-05-02 10:30:00,1.437505513,100,1.7,88,11.491,146.88
2025-05-02 11:00:00,1.458338043,98.7,1.8,43,11.491,155.52
2025-05-02 11:30:00,1.479169677,98.2,0.6,17,11.491,51.84
2025-05-02 12:00:00,1.50000089,97,1.1,73,11.491,95.04
2025-05-02 12:30:00,1.520833983,96.9,0.5,1,11.501,43.2
2025-05-02 12:30:01,1.520843617,96.9,0.7,17,11.501,60.48
2025-05-02 13:00:01,1.54167654,94.5,3.8,17,11.501,328.32
2025-05-02 13:30:01,1.562508692,94.3,0.6,1,11.501,51.84
2025-05-02 14:00:01,1.583341919,88,1.4,37,11.501,120.96
2025-05-02 14:30:01,1.604173655,89.9,0.5,51,11.501,43.2
2025-05-02 15:00:01,1.625005831,85.9,0.3,330,11.501,25.92
2025-05-02 15:30:00,1.645837783,80.3,3.1,319,11.501,267.84
2025-05-02 16:00:00,1.666669054,84.2,0.5,14,11.501,43.2
2025-05-02 16:30:00,1.687499907,81.8,0.2,320,11.501,17.28
2025-05-02 16:30:01,1.687510088,81.8,0.2,321,11.501,17.28
2025-05-02 17:00:01,1.708341897,80.2,0.6,326,11.501,51.84
2025-05-02 17:30:01,1.729173197,79.5,1.7,75,11.501,146.88
2025-05-02 18:00:00,1.750004013,80.1,1.7,8,11.501,146.88
2025-05-02 18:30:00,1.770835199,79.7,1.5,37,11.501,129.6
2025-05-02 19:00:00,1.791667236,76.7,1.5,70,11.501,129.6
2025-05-02 19:00:01,1.791677047,76.7,1.7,71,11.501,146.88
2025-05-02 19:30:01,1.812509065,75.4,0.8,113,11.501,69.12
2025-05-02 20:00:01,1.833339842,73.9,0.7,9,11.501,60.48
2025-05-02 20:30:00,1.854171263,74.4,1.4,60,11.501,120.96
2025-05-02 21:00:00,1.875002155,74,1.9,47,11.501,164.16
2025-05-02 21:30:00,1.895833238,76.1,1.8,25,11.501,155.52
2025-05-02 21:30:01,1.895843249,76.1,1.8,41,11.501,155.52
2025-05-02 22:00:01,1.916675906,72.3,1.5,134,11.501,129.6
2025-05-02 22:30:01,1.937507061,74.6,0.9,107,11.501,77.76
2025-05-02 23:00:01,1.958339411,75.9,0.8,32,11.501,69.12
2025-05-02 23:30:00,1.979170376,77.6,1.7,89,11.501,146.88
2025-05-03 00:00:00,2.000003457,77.5,1.5,79,11.501,129.6
2025-05-03 00:30:00,2.020834466,79,2.4,72,11.501,207.36
2025-05-03 00:30:01,2.02084428,79,2.5,70,11.501,216
2025-05-03 01:00:01,2.041675933,81.1,0.8,129,11.501,69.12
2025-05-03 01:30:01,2.062508495,83.5,2.4,86,11.501,207.36
2025-05-03 02:00:01,2.08333952,86.7,1.4,29,11.501,120.96
2025-05-03 02:30:00,2.104170591,84,1,43,11.501,86.4
2025-05-03 03:00:00,2.125002737,79.4,1.1,50,11.501,95.04
2025-05-03 03:30:00,2.145834718,78.7,1.3,77,11.501,112.32
2025-05-03 03:30:01,2.145844339,78.7,1.4,77,11.501,120.96
2025-05-03 04:00:01,2.16667599,82.5,1.8,108,11.513,155.52
2025-05-03 04:30:01,2.187506639,78.9,1.5,34,11.515,129.6
2025-05-03 05:00:00,2.208337699,79.3,0.8,50,11.515,69.12
2025-05-03 05:30:00,2.229168946,77.9,3.3,326,11.515,285.12
2025-05-03 06:00:00,2.249999821,76.7,1.8,340,11.515,155.52
2025-05-03 06:00:01,2.250009448,76.7,2,341,11.515,172.8
2025-05-03 06:30:01,2.27084086,79.1,1.2,24,11.515,103.68
2025-05-03 07:00:00,2.291671915,82,2,11,11.515,172.8
2025-05-03 07:30:00,2.312503909,82.2,1.1,26,11.515,95.04
2025-05-03 08:00:00,2.333335167,84.9,2,349,11.515,172.8
2025-05-03 08:00:01,2.333344632,84.9,2.3,332,11.515,198.72
2025-05-03 08:30:01,2.35417605,87.4,1.1,357,11.515,95.04
2025-05-03 09:00:01,2.3750079,89.4,3.1,315,11.515,267.84
2025-05-03 09:30:01,2.395840009,89.5,2.7,341,11.515,233.28
2025-05-03 10:00:00,2.416672165,91.3,4.8,302,11.515,414.72
2025-05-03 10:30:00,2.437504155,91.7,3.9,307,11.515,336.96
2025-05-03 11:00:00,2.458335287,90.3,1.6,338,11.515,138.24
2025-05-03 11:30:00,2.47916643,89.2,1.9,320,11.515,164.16
2025-05-03 11:30:01,2.479177008,89.2,2.2,328,11.515,190.08
2025-05-03 12:00:01,2.500008259,86.7,1,10,11.515,86.4
2025-05-03 12:30:01,2.520839282,86.3,3.4,10,11.515,293.76
2025-05-03 13:00:00,2.541670505,84.7,2.8,341,11.515,241.92
2025-05-03 13:30:00,2.562502302,84.8,3.2,349,11.515,276.48
2025-05-03 14:00:00,2.583334484,81.7,2,26,11.515,172.8
2025-05-03 14:00:01,2.583344297,81.7,1.8,32,11.515,155.52
2025-05-03 14:30:01,2.604175443,81.3,3,351,11.515,259.2
2025-05-03 15:00:01,2.625006403,79,5.1,338,11.515,440.64
2025-05-03 15:30:00,2.645837631,82.4,4.1,9,11.515,354.24
2025-05-03 16:00:00,2.666668578,81,2.8,331,11.515,241.92
2025-05-03 16:30:00,2.687499763,80.4,1.5,14,11.515,129.6
2025-05-03 16:30:01,2.687509404,80.4,1.6,11,11.515,138.24
2025-05-03 17:00:01,2.708341401,80.9,4.1,38,11.515,354.24
2025-05-03 17:30:01,2.729172415,84.5,4.4,14,11.515,380.16
2025-05-03 18:00:00,2.750003807,84.6,5.2,350,11.515,449.28
2025-05-03 18:30:00,2.770836735,89,1.5,9,11.515,129.6
2025-05-03 19:00:00,2.79166771,87.2,4.9,339,11.515,423.36
2025-05-03 19:30:00,2.812500498,87,3,0,11.515,259.2
2025-05-03 19:30:01,2.812510503,87,3.2,354,11.515,276.48
2025-05-03 20:00:01,2.833342785,87.6,3.2,7,11.515,276.48
2025-05-03 20:30:01,2.854173671,86.8,2.6,353,11.515,224.64
2025-05-03 21:00:00,2.875004711,84.2,1.9,356,11.515,164.16
2025-05-03 21:30:00,2.895837958,84,4.4,326,11.515,380.16
2025-05-03 22:00:00,2.91666825,82.2,2.8,7,11.515,241.92
2025-05-03 22:30:00,2.937500072,81.4,6.2,352,11.515,535.68
2025-05-03 22:30:01,2.93750992,81.4,6,356,11.515,518.4
2025-05-03 23:00:01,2.958341909,77.2,3.8,352,11.515,328.32
2025-05-03 23:30:01,2.979174114,75.7,6.6,351,11.515,570.24
2025-05-04 00:00:01,3.00000635,80.5,1.9,335,11.515,164.16
2025-05-04 00:30:00,3.020837296,82.1,5.2,350,11.515,449.28
2025-05-04 01:00:00,3.041669236,80.5,1.9,300,11.515,164.16
2025-05-04 01:30:00,3.062500249,81,3,345,11.515,259.2
2025-05-04 01:30:01,3.062511,81,2.7,349,11.515,233.28
2025-05-04 02:00:01,3.083342098,81.5,3.4,309,11.515,293.76
2025-05-04 02:30:01,3.104173172,82.4,2.5,332,11.515,216
2025-05-04 03:00:00,3.125005328,81.6,1.9,339,11.515,164.16
2025-05-04 03:30:00,3.145836189,81.7,5.2,327,11.515,449.28
2025-05-04 04:00:00,3.1666676,80.6,2.3,318,11.515,198.72
2025-05-04 04:00:01,3.166677282,80.6,2.3,318,11.515,198.72
2025-05-04 04:30:01,3.187509376,81.5,3,298,11.515,259.2
2025-05-04 05:00:01,3.208340506,82.1,3.2,352,11.515,276.48
2025-05-04 05:30:00,3.229171478,82.1,4.5,318,11.515,388.8
2025-05-04 06:00:00,3.250002754,81.7,1.8,318,11.515,155.52
2025-05-04 06:30:00,3.270833833,82.5,2.7,335,11.515,233.28
2025-05-04 06:30:01,3.270843667,82.5,2.7,328,11.515,233.28
2025-05-04 07:00:01,3.291674686,81,2.1,332,11.515,181.44
2025-05-04 07:30:01,3.312505686,81.9,4.8,312,11.515,414.72
2025-05-04 08:00:00,3.333337645,83,2.7,303,11.515,233.28
2025-05-04 08:30:00,3.354168954,82.3,1.4,316,11.515,120.96
2025-05-04 09:00:00,3.374999795,82.9,2.3,325,11.515,198.72
2025-05-04 09:00:01,3.375009791,82.9,2.4,324,11.515,207.36
2025-05-04 09:30:01,3.395840691,85,1.5,316,11.515,129.6
2025-05-04 10:00:01,3.416672872,86.7,3.3,342,11.515,285.12
2025-05-04 10:30:00,3.437504754,87.4,0.4,318,11.515,34.56
2025-05-04 11:00:00,3.458336963,87.4,0.5,332,11.515,43.2
2025-05-04 11:30:00,3.479168968,87.8,3.1,40,11.515,267.84
2025-05-04 12:00:00,3.500001162,88.4,1.2,339,11.515,103.68
2025-05-04 12:00:01,3.500010767,88.4,1.2,343,11.515,103.68
2025-05-04 12:30:01,3.520841819,88.8,3.1,43,11.515,267.84
2025-05-04 13:00:01,3.541673967,88.2,5.1,343,11.515,440.64
2025-05-04 13:30:01,3.562506074,87.2,2.3,325,11.515,198.72
2025-05-04 14:00:00,3.583338052,85,2.8,346,11.515,241.92
2025-05-04 14:30:00,3.604170026,83.7,1.7,321,11.515,146.88
2025-05-04 15:00:00,3.625001244,80.3,1.9,335,11.515,164.16
2025-05-04 15:00:01,3.625011084,80.3,2.1,341,11.515,181.44
2025-05-04 15:30:01,3.645842868,75.3,3.1,289,11.515,267.84
2025-05-04 16:00:01,3.666674535,72.3,3,325,11.515,259.2
2025-05-04 16:30:01,3.687506153,70.7,3,3,11.515,259.2
2025-05-04 17:00:00,3.70833734,73,5.9,326,11.515,509.76
2025-05-04 17:30:00,3.729168567,72.7,0.8,222,11.515,69.12
2025-05-04 18:00:00,3.750000416,72,2.4,22,11.515,207.36
2025-05-04 18:00:01,3.750009893,72,2.3,12,11.515,198.72
2025-05-04 18:30:01,3.770841984,70.8,2.4,20,11.515,207.36
2025-05-04 19:00:01,3.791673854,69.3,6.4,339,11.515,552.96
2025-05-04 19:30:00,3.812505277,69.7,3.3,319,11.515,285.12
2025-05-04 20:00:00,3.833336355,70,6.1,332,11.515,527.04
2025-05-04 20:30:00,3.854168529,72.1,1.6,345,11.515,138.24
