NU USDA Model Results,,,,NU Core Model Results,,,,NEIU USDA Model Results,,,,NEIU Core Model Results,,,,CSU USDA Model Results,,,,CSU Core model Results,,
t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),cum. Flux (cm)
0.0067,0,,,0.02,0,,,0.02,0,,,0.02,0,,,0.02,0,,,0.02,0,0
0.0137,0,,,0.0208,0,,,0.0208,0,,,0.0208,0,,,0.0208,0,,,0.0208,0,0
0.0208,0,,,0.0208,0,,,0.0208,0,,,0.0208,0,,,0.0208,0,,,0.0208,0,0
0.0208,0,,,0.0417,0,,,0.0417,0,,,0.0417,0,,,0.0417,0,,,0.0417,0,0
0.0313,0,,,0.0625,0,,,0.0625,0,,,0.0625,0,,,0.0625,0,,,0.0625,0,0
0.0417,0,,,0.0833,0,,,0.0833,0,,,0.0833,0,,,0.0833,0,,,0.0833,0,0
0.0486,0,,,0.1042,0,,,0.1042,0,,,0.1042,0,,,0.1042,0,,,0.1042,0,0
0.0556,0,,,0.125,0,,,0.125,0,,,0.125,0,,,0.125,0,,,0.125,0,0
0.0625,0,,,0.1458,0,,,0.1458,0,,,0.1458,0,,,0.1458,0,,,0.1458,0,0
0.0729,0,,,0.155,0,,,0.155,0,,,0.155,0,,,0.155,0,,,0.155,0,0
0.0833,0,,,0.1667,0,,,0.1667,0,,,0.1667,0,,,0.1667,0,,,0.1667,0,0
0.0903,0,,,0.1875,0,,,0.1875,0,,,0.1875,0,,,0.1875,0,,,0.1875,0,0
0.0972,0,,,0.2083,0,,,0.2083,0,,,0.2083,0,,,0.2083,0,,,0.2083,0,0
0.1042,0,,,0.2292,0,,,0.2292,0,,,0.2292,0,,,0.2292,0,,,0.2292,0,0
0.1146,0,,,0.2361,0,,,0.25,0,,,0.25,0,,,0.25,0,,,0.25,0,0
0.125,0,,,0.2384,0,,,0.2708,0,,,0.2708,0,,,0.2708,0,,,0.2708,0,0
0.1319,0,,,0.2413,0,,,0.2917,0,,,0.2917,0,,,0.2917,0,,,0.2917,0,0
0.1389,0,,,0.2457,0,,,0.31,0,,,0.31,0,,,0.31,0,,,0.2937,0,0
0.1458,0,,,0.25,0,,,0.3125,0,,,0.3125,0,,,0.3125,0,,,0.2957,0,0
0.1458,0,,,0.2539,0,,,0.3125,0,,,0.3125,0,,,0.3125,0,,,0.2977,0,0
0.155,0,,,0.2596,0,,,0.3333,0,,,0.3333,0,,,0.3229,0,,,0.2997,119.32,0.23863
