NU USDA Model Results,,,,NU Core Model Results,,,,NEIU USDA Model Results,,,,NEIU Core Model Results,,,,CSU USDA Model Results,,,,CSU Core model Results,
t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm)
0.0067,16.143,,,0.02,12.229,,,0.02,24.383,,,0.02,24.35,,,0.02,31.783,,,0.02,21.428
0.0137,16.141,,,0.0208,12.228,,,0.0208,24.382,,,0.0208,24.349,,,0.0208,31.782,,,0.0208,21.428
0.0208,16.139,,,0.0208,12.228,,,0.0208,24.382,,,0.0208,24.349,,,0.0208,31.782,,,0.0208,21.428
0.0208,16.139,,,0.0417,12.222,,,0.0417,24.357,,,0.0417,24.336,,,0.0417,31.754,,,0.0417,21.414
0.0313,16.137,,,0.0625,12.215,,,0.0625,24.332,,,0.0625,24.323,,,0.0625,31.726,,,0.0625,21.401
0.0417,16.134,,,0.0833,12.209,,,0.0833,24.308,,,0.0833,24.31,,,0.0833,31.698,,,0.0833,21.388
0.0486,16.133,,,0.1042,12.203,,,0.1042,24.284,,,0.1042,24.298,,,0.1042,31.671,,,0.1042,21.375
0.0556,16.131,,,0.125,12.197,,,0.125,24.26,,,0.125,24.285,,,0.125,31.643,,,0.125,21.362
0.0625,16.13,,,0.1458,12.191,,,0.1458,24.236,,,0.1458,24.274,,,0.1458,31.616,,,0.1458,21.349
0.0729,16.127,,,0.155,12.189,,,0.155,24.226,,,0.155,24.268,,,0.155,31.604,,,0.155,21.343
0.0833,16.125,,,0.1667,12.186,,,0.1667,24.213,,,0.1667,24.262,,,0.1667,31.588,,,0.1667,21.336
0.0903,16.124,,,0.1875,12.18,,,0.1875,24.189,,,0.1875,24.249,,,0.1875,31.561,,,0.1875,21.323
0.0972,16.122,,,0.2083,12.175,,,0.2083,24.165,,,0.2083,24.238,,,0.2083,31.544,,,0.2083,21.32
0.1042,16.121,,,0.2292,12.17,,,0.2292,24.152,,,0.2292,24.236,,,0.2292,31.516,,,0.2292,21.307
0.1146,16.119,,,0.2361,12.177,,,0.25,24.161,,,0.25,24.256,,,0.25,31.488,,,0.25,21.294
0.125,16.117,,,0.2384,12.18,,,0.2708,24.174,,,0.2708,24.281,,,0.2708,31.484,,,0.2708,21.304
0.1319,16.115,,,0.2413,12.183,,,0.2917,24.174,,,0.2917,24.292,,,0.2917,31.467,,,0.2917,21.302
0.1389,16.114,,,0.2457,12.188,,,0.31,24.205,,,0.31,24.333,,,0.31,32.578,,,0.2937,21.436
0.1458,16.113,,,0.25,12.193,,,0.3125,24.209,,,0.3125,24.338,,,0.3125,32.729,,,0.2957,22.022
0.1458,16.113,,,0.2539,12.194,,,0.3125,24.209,,,0.3125,24.338,,,0.3125,32.73,,,0.2977,22.649
0.155,16.11,,,0.2596,12.196,,,0.3333,24.245,,,0.3333,24.386,,,0.3229,32.773,,,0.2997,21.39
0.1667,16.108,,,0.2652,12.198,,,0.3542,24.469,,,0.3542,24.621,,,0.3333,32.815,,,0.3017,26.445
0.1771,16.106,,,0.2708,12.201,,,0.3646,24.631,,,0.3646,24.788,,,0.3437,32.801,,,0.3037,29.402
0.1875,16.104,,,0.2708,12.201,,,0.375,24.793,,,0.375,24.956,,,0.3542,32.787,,,0.3057,31.113
0.1944,16.103,,,0.2775,12.218,,,0.3854,24.782,,,0.3854,24.951,,,0.3646,32.801,,,0.3077,32.445
0.2014,16.102,,,0.2846,12.238,,,0.3958,24.771,,,0.3958,24.945,,,0.375,32.816,,,0.3097,33.645
0.2083,16.101,,,0.2917,12.257,,,0.4063,24.766,,,0.4056,24.946,,,0.3958,32.786,,,0.31,33.825
0.2174,16.099,,,0.2978,12.264,,,0.4167,24.762,,,0.4167,24.947,,,0.4167,32.756,,,0.312,34.805
